TRFL #9003039625LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 15:43:28,0                 
Time,Ampl
-1.2500072e-005,1.48799
-1.2499872e-005,1.48777
-1.2499672e-005,1.48701
-1.2499472e-005,1.48513
-1.2499272e-005,1.48611
-1.2499072e-005,1.49066
-1.2498872e-005,1.49426
-1.2498672e-005,1.49334
-1.2498472e-005,1.49021
-1.2498272e-005,1.48986
-1.2498072e-005,1.4922
-1.2497872e-005,1.49332
-1.2497672e-005,1.49175
-1.2497472e-005,1.48978
-1.2497272e-005,1.48971
-1.2497072e-005,1.49062
-1.2496872e-005,1.49145
-1.2496672e-005,1.49167
-1.2496472e-005,1.48903
-1.2496272e-005,1.48451
-1.2496072e-005,1.48337
-1.2495872e-005,1.48591
-1.2495672e-005,1.48787
-1.2495472e-005,1.49005
-1.2495272e-005,1.49425
-1.2495072e-005,1.49634
-1.2494872e-005,1.49341
-1.2494672e-005,1.48878
-1.2494472e-005,1.4864
-1.2494272e-005,1.48718
-1.2494072e-005,1.48953
-1.2493872e-005,1.49134
-1.2493672e-005,1.49223
-1.2493472e-005,1.49195
-1.2493272e-005,1.48995
-1.2493072e-005,1.48885
-1.2492872e-005,1.49081
-1.2492672e-005,1.49293
-1.2492472e-005,1.49236
-1.2492272e-005,1.49091
-1.2492072e-005,1.49095
-1.2491872e-005,1.49121
-1.2491672e-005,1.48905
-1.2491472e-005,1.48495
-1.2491272e-005,1.48268
-1.2491072e-005,1.48361
-1.2490872e-005,1.48489
-1.2490672e-005,1.48656
-1.2490472e-005,1.49051
-1.2490272e-005,1.49485
-1.2490072e-005,1.49633
-1.2489872e-005,1.49321
-1.2489672e-005,1.48764
-1.2489472e-005,1.48554
-1.2489272e-005,1.4881
-1.2489072e-005,1.49122
-1.2488872e-005,1.49346
-1.2488672e-005,1.49401
-1.2488472e-005,1.49075
-1.2488272e-005,1.4865
-1.2488072e-005,1.48678
-1.2487872e-005,1.4905
-1.2487672e-005,1.49182
-1.2487472e-005,1.49094
-1.2487272e-005,1.49245
-1.2487072e-005,1.49606
-1.2486872e-005,1.497
-1.2486672e-005,1.4936
-1.2486472e-005,1.49112
-1.2486272e-005,1.49343
-1.2486072e-005,1.49639
-1.2485872e-005,1.49567
-1.2485672e-005,1.49306
-1.2485472e-005,1.49224
-1.2485272e-005,1.49343
-1.2485072e-005,1.49406
-1.2484872e-005,1.49218
-1.2484672e-005,1.48888
-1.2484472e-005,1.48845
-1.2484272e-005,1.49271
-1.2484072e-005,1.49806
-1.2483872e-005,1.50024
-1.2483672e-005,1.49837
-1.2483472e-005,1.49382
-1.2483272e-005,1.48974
-1.2483072e-005,1.49046
-1.2482872e-005,1.49479
-1.2482672e-005,1.49588
-1.2482472e-005,1.4928
-1.2482272e-005,1.49093
-1.2482072e-005,1.49144
-1.2481872e-005,1.49056
-1.2481672e-005,1.48702
-1.2481472e-005,1.48394
-1.2481272e-005,1.48443
-1.2481072e-005,1.48723
-1.2480872e-005,1.48984
-1.2480672e-005,1.49163
-1.2480472e-005,1.49113
-1.2480272e-005,1.48766
-1.2480072e-005,1.48506
-1.2479872e-005,1.48623
-1.2479672e-005,1.48884
-1.2479472e-005,1.49059
-1.2479272e-005,1.49246
-1.2479072e-005,1.49501
-1.2478872e-005,1.49635
-1.2478672e-005,1.49567
-1.2478472e-005,1.49448
-1.2478272e-005,1.49327
-1.2478072e-005,1.49081
-1.2477872e-005,1.48737
-1.2477672e-005,1.48567
-1.2477472e-005,1.48681
-1.2477272e-005,1.48935
-1.2477072e-005,1.49112
-1.2476872e-005,1.48893
-1.2476672e-005,1.48271
-1.2476472e-005,1.47786
-1.2476272e-005,1.47921
-1.2476072e-005,1.48397
-1.2475872e-005,1.48551
-1.2475672e-005,1.48517
-1.2475472e-005,1.48791
-1.2475272e-005,1.4904
-1.2475072e-005,1.4886
-1.2474872e-005,1.48472
-1.2474672e-005,1.48166
-1.2474472e-005,1.4825
-1.2474272e-005,1.48706
-1.2474072e-005,1.48959
-1.2473872e-005,1.48855
-1.2473672e-005,1.48851
-1.2473472e-005,1.49141
-1.2473272e-005,1.49403
-1.2473072e-005,1.49333
-1.2472872e-005,1.49031
-1.2472672e-005,1.48771
-1.2472472e-005,1.48679
-1.2472272e-005,1.48733
-1.2472072e-005,1.48886
-1.2471872e-005,1.49052
-1.2471672e-005,1.49029
-1.2471472e-005,1.48801
-1.2471272e-005,1.48736
-1.2471072e-005,1.4896
-1.2470872e-005,1.48944
-1.2470672e-005,1.48392
-1.2470472e-005,1.47968
-1.2470272e-005,1.48186
-1.2470072e-005,1.48507
-1.2469872e-005,1.48498
-1.2469672e-005,1.48576
-1.2469472e-005,1.49052
-1.2469272e-005,1.49489
-1.2469072e-005,1.49413
-1.2468872e-005,1.49162
-1.2468672e-005,1.49226
-1.2468472e-005,1.49391
-1.2468272e-005,1.49335
-1.2468072e-005,1.49203
-1.2467872e-005,1.4921
-1.2467672e-005,1.49205
-1.2467472e-005,1.4895
-1.2467272e-005,1.4862
-1.2467072e-005,1.48544
-1.2466872e-005,1.48657
-1.2466672e-005,1.48659
-1.2466472e-005,1.48561
-1.2466272e-005,1.48666
-1.2466072e-005,1.48984
-1.2465872e-005,1.49052
-1.2465672e-005,1.48718
-1.2465472e-005,1.48533
-1.2465272e-005,1.48839
-1.2465072e-005,1.49164
-1.2464872e-005,1.48996
-1.2464672e-005,1.48557
-1.2464472e-005,1.48585
-1.2464272e-005,1.49241
-1.2464072e-005,1.49662
-1.2463872e-005,1.4935
-1.2463672e-005,1.48837
-1.2463472e-005,1.48624
-1.2463272e-005,1.48836
-1.2463072e-005,1.4938
-1.2462872e-005,1.49674
-1.2462672e-005,1.49366
-1.2462472e-005,1.49088
-1.2462272e-005,1.49386
-1.2462072e-005,1.49745
-1.2461872e-005,1.49479
-1.2461672e-005,1.48938
-1.2461472e-005,1.48833
-1.2461272e-005,1.49039
-1.2461072e-005,1.49214
-1.2460872e-005,1.49386
-1.2460672e-005,1.4947
-1.2460472e-005,1.49278
-1.2460272e-005,1.48969
-1.2460072e-005,1.4888
-1.2459872e-005,1.49011
-1.2459672e-005,1.49106
-1.2459472e-005,1.49061
-1.2459272e-005,1.48987
-1.2459072e-005,1.48981
-1.2458872e-005,1.48868
-1.2458672e-005,1.48665
-1.2458472e-005,1.48746
-1.2458272e-005,1.4898
-1.2458072e-005,1.48943
-1.2457872e-005,1.48739
-1.2457672e-005,1.48771
-1.2457472e-005,1.49155
-1.2457272e-005,1.49434
-1.2457072e-005,1.49118
-1.2456872e-005,1.48538
-1.2456672e-005,1.4838
-1.2456472e-005,1.48663
-1.2456272e-005,1.48909
-1.2456072e-005,1.48886
-1.2455872e-005,1.48742
-1.2455672e-005,1.48764
-1.2455472e-005,1.49013
-1.2455272e-005,1.49224
-1.2455072e-005,1.4926
-1.2454872e-005,1.49258
-1.2454672e-005,1.49306
-1.2454472e-005,1.49352
-1.2454272e-005,1.49186
-1.2454072e-005,1.48814
-1.2453872e-005,1.48747
-1.2453672e-005,1.49155
-1.2453472e-005,1.49444
-1.2453272e-005,1.49339
-1.2453072e-005,1.49238
-1.2452872e-005,1.4925
-1.2452672e-005,1.4907
-1.2452472e-005,1.48809
-1.2452272e-005,1.48949
-1.2452072e-005,1.49413
-1.2451872e-005,1.49596
-1.2451672e-005,1.49385
-1.2451472e-005,1.49125
-1.2451272e-005,1.48844
-1.2451072e-005,1.48618
-1.2450872e-005,1.48797
-1.2450672e-005,1.49233
-1.2450472e-005,1.49419
-1.2450272e-005,1.49331
-1.2450072e-005,1.49219
-1.2449872e-005,1.49109
-1.2449672e-005,1.48918
-1.2449472e-005,1.4878
-1.2449272e-005,1.48961
-1.2449072e-005,1.49341
-1.2448872e-005,1.49403
-1.2448672e-005,1.48963
-1.2448472e-005,1.48447
-1.2448272e-005,1.4824
-1.2448072e-005,1.48315
-1.2447872e-005,1.48564
-1.2447672e-005,1.48834
-1.2447472e-005,1.49084
-1.2447272e-005,1.49544
-1.2447072e-005,1.50002
-1.2446872e-005,1.49919
-1.2446672e-005,1.4941
-1.2446472e-005,1.49034
-1.2446272e-005,1.48842
-1.2446072e-005,1.48569
-1.2445872e-005,1.48451
-1.2445672e-005,1.48804
-1.2445472e-005,1.49368
-1.2445272e-005,1.49622
-1.2445072e-005,1.4927
-1.2444872e-005,1.48692
-1.2444672e-005,1.4852
