TRFL #9002958750LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 22:46:40,0                 
Time,Ampl
-1.2500182e-005,1.4942
-1.2499982e-005,1.49424
-1.2499782e-005,1.49393
-1.2499582e-005,1.49329
-1.2499382e-005,1.49482
-1.2499182e-005,1.49721
-1.2498982e-005,1.49474
-1.2498782e-005,1.49032
-1.2498582e-005,1.49251
-1.2498382e-005,1.49752
-1.2498182e-005,1.49722
-1.2497982e-005,1.49427
-1.2497782e-005,1.49353
-1.2497582e-005,1.49541
-1.2497382e-005,1.4979
-1.2497182e-005,1.49803
-1.2496982e-005,1.49669
-1.2496782e-005,1.4957
-1.2496582e-005,1.49477
-1.2496382e-005,1.49204
-1.2496182e-005,1.48759
-1.2495982e-005,1.48702
-1.2495782e-005,1.48944
-1.2495582e-005,1.48707
-1.2495382e-005,1.48264
-1.2495182e-005,1.48476
-1.2494982e-005,1.49194
-1.2494782e-005,1.49624
-1.2494582e-005,1.49462
-1.2494382e-005,1.48892
-1.2494182e-005,1.48276
-1.2493982e-005,1.48212
-1.2493782e-005,1.48831
-1.2493582e-005,1.49377
-1.2493382e-005,1.49555
-1.2493182e-005,1.4971
-1.2492982e-005,1.49662
-1.2492782e-005,1.49431
-1.2492582e-005,1.49429
-1.2492382e-005,1.49401
-1.2492182e-005,1.49222
-1.2491982e-005,1.49334
-1.2491782e-005,1.49708
-1.2491582e-005,1.50011
-1.2491382e-005,1.50145
-1.2491182e-005,1.50093
-1.2490982e-005,1.49928
-1.2490782e-005,1.49893
-1.2490582e-005,1.49995
-1.2490382e-005,1.49983
-1.2490182e-005,1.49885
-1.2489982e-005,1.4975
-1.2489782e-005,1.49358
-1.2489582e-005,1.48776
-1.2489382e-005,1.48552
-1.2489182e-005,1.49001
-1.2488982e-005,1.49708
-1.2488782e-005,1.50002
-1.2488582e-005,1.49967
-1.2488382e-005,1.50254
-1.2488182e-005,1.50701
-1.2487982e-005,1.50751
-1.2487782e-005,1.50449
-1.2487582e-005,1.50016
-1.2487382e-005,1.49595
-1.2487182e-005,1.49325
-1.2486982e-005,1.49317
-1.2486782e-005,1.49563
-1.2486582e-005,1.49588
-1.2486382e-005,1.49125
-1.2486182e-005,1.488
-1.2485982e-005,1.49021
-1.2485782e-005,1.4931
-1.2485582e-005,1.49538
-1.2485382e-005,1.49843
-1.2485182e-005,1.49658
-1.2484982e-005,1.4889
-1.2484782e-005,1.48374
-1.2484582e-005,1.48579
-1.2484382e-005,1.49196
-1.2484182e-005,1.49645
-1.2483982e-005,1.49745
-1.2483782e-005,1.49691
-1.2483582e-005,1.4965
-1.2483382e-005,1.4955
-1.2483182e-005,1.4931
-1.2482982e-005,1.49208
-1.2482782e-005,1.49475
-1.2482582e-005,1.49924
-1.2482382e-005,1.50087
-1.2482182e-005,1.49662
-1.2481982e-005,1.49033
-1.2481782e-005,1.48812
-1.2481582e-005,1.49006
-1.2481382e-005,1.49298
-1.2481182e-005,1.49429
-1.2480982e-005,1.49375
-1.2480782e-005,1.49481
-1.2480582e-005,1.49869
-1.2480382e-005,1.5018
-1.2480182e-005,1.50204
-1.2479982e-005,1.50057
-1.2479782e-005,1.49843
-1.2479582e-005,1.49498
-1.2479382e-005,1.48906
-1.2479182e-005,1.48329
-1.2478982e-005,1.48336
-1.2478782e-005,1.48964
-1.2478582e-005,1.49489
-1.2478382e-005,1.49441
-1.2478182e-005,1.49199
-1.2477982e-005,1.49094
-1.2477782e-005,1.49037
-1.2477582e-005,1.49047
-1.2477382e-005,1.49122
-1.2477182e-005,1.49142
-1.2476982e-005,1.49232
-1.2476782e-005,1.49475
-1.2476582e-005,1.498
-1.2476382e-005,1.50045
-1.2476182e-005,1.50019
-1.2475982e-005,1.49931
-1.2475782e-005,1.50081
-1.2475582e-005,1.50328
-1.2475382e-005,1.50411
-1.2475182e-005,1.50299
-1.2474982e-005,1.49966
-1.2474782e-005,1.49567
-1.2474582e-005,1.49493
-1.2474382e-005,1.49548
-1.2474182e-005,1.49361
-1.2473982e-005,1.49113
-1.2473782e-005,1.48987
-1.2473582e-005,1.48973
-1.2473382e-005,1.49008
-1.2473182e-005,1.49128
-1.2472982e-005,1.49539
-1.2472782e-005,1.50074
-1.2472582e-005,1.50168
-1.2472382e-005,1.498
-1.2472182e-005,1.49437
-1.2471982e-005,1.49232
-1.2471782e-005,1.4928
-1.2471582e-005,1.4947
-1.2471382e-005,1.49348
-1.2471182e-005,1.49184
-1.2470982e-005,1.49505
-1.2470782e-005,1.49943
-1.2470582e-005,1.49974
-1.2470382e-005,1.49562
-1.2470182e-005,1.48932
-1.2469982e-005,1.48429
-1.2469782e-005,1.48362
-1.2469582e-005,1.48775
-1.2469382e-005,1.49253
-1.2469182e-005,1.49375
-1.2468982e-005,1.4931
-1.2468782e-005,1.49477
-1.2468582e-005,1.49834
-1.2468382e-005,1.49895
-1.2468182e-005,1.49627
-1.2467982e-005,1.49634
-1.2467782e-005,1.50062
-1.2467582e-005,1.50363
-1.2467382e-005,1.50147
-1.2467182e-005,1.4965
-1.2466982e-005,1.49348
-1.2466782e-005,1.49418
-1.2466582e-005,1.49591
-1.2466382e-005,1.49562
-1.2466182e-005,1.4938
-1.2465982e-005,1.49172
-1.2465782e-005,1.49109
-1.2465582e-005,1.49268
-1.2465382e-005,1.49339
-1.2465182e-005,1.49412
-1.2464982e-005,1.49745
-1.2464782e-005,1.49997
-1.2464582e-005,1.50021
-1.2464382e-005,1.50002
-1.2464182e-005,1.49886
-1.2463982e-005,1.49745
-1.2463782e-005,1.49683
-1.2463582e-005,1.49327
-1.2463382e-005,1.48731
-1.2463182e-005,1.48598
-1.2462982e-005,1.48923
-1.2462782e-005,1.49173
-1.2462582e-005,1.49246
-1.2462382e-005,1.49246
-1.2462182e-005,1.49172
-1.2461982e-005,1.49094
-1.2461782e-005,1.49367
-1.2461582e-005,1.50087
-1.2461382e-005,1.50506
-1.2461182e-005,1.50125
-1.2460982e-005,1.497
-1.2460782e-005,1.49814
-1.2460582e-005,1.49942
