TRFL #9003048912LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 16:04:29,0                 
Time,Ampl
-1.2500154e-005,1.49511
-1.2499954e-005,1.49789
-1.2499754e-005,1.4977
-1.2499554e-005,1.49589
-1.2499354e-005,1.49455
-1.2499154e-005,1.49431
-1.2498954e-005,1.49334
-1.2498754e-005,1.4912
-1.2498554e-005,1.49015
-1.2498354e-005,1.4913
-1.2498154e-005,1.49365
-1.2497954e-005,1.49521
-1.2497754e-005,1.49471
-1.2497554e-005,1.49317
-1.2497354e-005,1.49222
-1.2497154e-005,1.49276
-1.2496954e-005,1.49423
-1.2496754e-005,1.49385
-1.2496554e-005,1.49124
-1.2496354e-005,1.49042
-1.2496154e-005,1.49227
-1.2495954e-005,1.49269
-1.2495754e-005,1.49039
-1.2495554e-005,1.48884
-1.2495354e-005,1.49026
-1.2495154e-005,1.49265
-1.2494954e-005,1.49335
-1.2494754e-005,1.49178
-1.2494554e-005,1.48964
-1.2494354e-005,1.49005
-1.2494154e-005,1.49342
-1.2493954e-005,1.49623
-1.2493754e-005,1.49652
-1.2493554e-005,1.4956
-1.2493354e-005,1.49418
-1.2493154e-005,1.49294
-1.2492954e-005,1.49376
-1.2492754e-005,1.49609
-1.2492554e-005,1.49699
-1.2492354e-005,1.49637
-1.2492154e-005,1.49688
-1.2491954e-005,1.49862
-1.2491754e-005,1.49858
-1.2491554e-005,1.49577
-1.2491354e-005,1.49279
-1.2491154e-005,1.49181
-1.2490954e-005,1.49247
-1.2490754e-005,1.49361
-1.2490554e-005,1.49493
-1.2490354e-005,1.49718
-1.2490154e-005,1.50001
-1.2489954e-005,1.5012
-1.2489754e-005,1.49978
-1.2489554e-005,1.4973
-1.2489354e-005,1.49537
-1.2489154e-005,1.49403
-1.2488954e-005,1.49267
-1.2488754e-005,1.49142
-1.2488554e-005,1.49068
-1.2488354e-005,1.49019
-1.2488154e-005,1.49003
-1.2487954e-005,1.49024
-1.2487754e-005,1.48959
-1.2487554e-005,1.48819
-1.2487354e-005,1.4885
-1.2487154e-005,1.49105
-1.2486954e-005,1.49407
-1.2486754e-005,1.49637
-1.2486554e-005,1.4968
-1.2486354e-005,1.49512
-1.2486154e-005,1.49358
-1.2485954e-005,1.49368
-1.2485754e-005,1.49422
-1.2485554e-005,1.494
-1.2485354e-005,1.49361
-1.2485154e-005,1.49402
-1.2484954e-005,1.49451
-1.2484754e-005,1.49419
-1.2484554e-005,1.4937
-1.2484354e-005,1.49344
-1.2484154e-005,1.49276
-1.2483954e-005,1.49227
-1.2483754e-005,1.49376
-1.2483554e-005,1.49596
-1.2483354e-005,1.49583
-1.2483154e-005,1.49373
-1.2482954e-005,1.49148
-1.2482754e-005,1.4895
-1.2482554e-005,1.48859
-1.2482354e-005,1.48947
-1.2482154e-005,1.49102
-1.2481954e-005,1.49219
-1.2481754e-005,1.49249
-1.2481554e-005,1.49146
-1.2481354e-005,1.49048
-1.2481154e-005,1.49064
-1.2480954e-005,1.49026
-1.2480754e-005,1.48949
-1.2480554e-005,1.49111
-1.2480354e-005,1.49467
-1.2480154e-005,1.49724
-1.2479954e-005,1.49853
-1.2479754e-005,1.49934
-1.2479554e-005,1.49869
-1.2479354e-005,1.49603
-1.2479154e-005,1.49385
-1.2478954e-005,1.49448
-1.2478754e-005,1.49639
-1.2478554e-005,1.49708
-1.2478354e-005,1.49675
-1.2478154e-005,1.49666
-1.2477954e-005,1.49689
-1.2477754e-005,1.49665
-1.2477554e-005,1.49508
-1.2477354e-005,1.49266
-1.2477154e-005,1.49206
-1.2476954e-005,1.49389
-1.2476754e-005,1.49444
-1.2476554e-005,1.49177
-1.2476354e-005,1.48873
-1.2476154e-005,1.4877
-1.2475954e-005,1.48825
-1.2475754e-005,1.4896
-1.2475554e-005,1.49081
-1.2475354e-005,1.49086
-1.2475154e-005,1.48994
-1.2474954e-005,1.48942
-1.2474754e-005,1.49012
-1.2474554e-005,1.49129
-1.2474354e-005,1.49218
