TRFL #9003048736LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 13:27:59,0                 
Time,Ampl
-1.2500124e-005,1.49903
-1.2499924e-005,1.49981
-1.2499724e-005,1.50014
-1.2499524e-005,1.50171
-1.2499324e-005,1.50052
-1.2499124e-005,1.49627
-1.2498924e-005,1.4942
-1.2498724e-005,1.49444
-1.2498524e-005,1.4957
-1.2498324e-005,1.49762
-1.2498124e-005,1.49563
-1.2497924e-005,1.4894
-1.2497724e-005,1.48746
-1.2497524e-005,1.49339
-1.2497324e-005,1.4992
-1.2497124e-005,1.4968
-1.2496924e-005,1.49023
-1.2496724e-005,1.49011
-1.2496524e-005,1.49511
-1.2496324e-005,1.49722
-1.2496124e-005,1.49503
-1.2495924e-005,1.4904
-1.2495724e-005,1.48966
-1.2495524e-005,1.49812
-1.2495324e-005,1.5077
-1.2495124e-005,1.50682
-1.2494924e-005,1.49782
-1.2494724e-005,1.49209
-1.2494524e-005,1.49444
-1.2494324e-005,1.50088
-1.2494124e-005,1.5026
-1.2493924e-005,1.49711
-1.2493724e-005,1.49425
-1.2493524e-005,1.49803
-1.2493324e-005,1.50076
-1.2493124e-005,1.50077
-1.2492924e-005,1.501
-1.2492724e-005,1.49898
-1.2492524e-005,1.49547
-1.2492324e-005,1.49446
-1.2492124e-005,1.49478
-1.2491924e-005,1.49568
-1.2491724e-005,1.49749
-1.2491524e-005,1.49779
-1.2491324e-005,1.49618
-1.2491124e-005,1.49394
-1.2490924e-005,1.49266
-1.2490724e-005,1.49408
-1.2490524e-005,1.49715
-1.2490324e-005,1.49983
-1.2490124e-005,1.50241
-1.2489924e-005,1.5035
-1.2489724e-005,1.49977
-1.2489524e-005,1.49542
-1.2489324e-005,1.49696
-1.2489124e-005,1.50058
-1.2488924e-005,1.49951
-1.2488724e-005,1.49623
-1.2488524e-005,1.49724
-1.2488324e-005,1.50039
-1.2488124e-005,1.50046
-1.2487924e-005,1.49827
-1.2487724e-005,1.49541
-1.2487524e-005,1.49195
-1.2487324e-005,1.49009
-1.2487124e-005,1.4928
-1.2486924e-005,1.49812
-1.2486724e-005,1.49946
-1.2486524e-005,1.49642
-1.2486324e-005,1.49561
-1.2486124e-005,1.49812
-1.2485924e-005,1.50027
-1.2485724e-005,1.50279
-1.2485524e-005,1.50733
-1.2485324e-005,1.50968
-1.2485124e-005,1.50675
-1.2484924e-005,1.50174
-1.2484724e-005,1.49789
-1.2484524e-005,1.49611
-1.2484324e-005,1.49618
-1.2484124e-005,1.49729
-1.2483924e-005,1.49867
-1.2483724e-005,1.49767
-1.2483524e-005,1.49249
-1.2483324e-005,1.48783
-1.2483124e-005,1.48862
-1.2482924e-005,1.49316
-1.2482724e-005,1.49646
-1.2482524e-005,1.49544
-1.2482324e-005,1.49347
-1.2482124e-005,1.49546
-1.2481924e-005,1.49793
-1.2481724e-005,1.4958
-1.2481524e-005,1.4937
-1.2481324e-005,1.49655
-1.2481124e-005,1.49877
-1.2480924e-005,1.4968
-1.2480724e-005,1.49703
-1.2480524e-005,1.50172
-1.2480324e-005,1.50374
-1.2480124e-005,1.50055
-1.2479924e-005,1.49832
-1.2479724e-005,1.49986
-1.2479524e-005,1.50057
-1.2479324e-005,1.49853
-1.2479124e-005,1.49817
-1.2478924e-005,1.49936
-1.2478724e-005,1.49765
-1.2478524e-005,1.49499
-1.2478324e-005,1.49527
-1.2478124e-005,1.49629
-1.2477924e-005,1.49591
-1.2477724e-005,1.49649
-1.2477524e-005,1.49905
-1.2477324e-005,1.5019
-1.2477124e-005,1.50305
-1.2476924e-005,1.5014
-1.2476724e-005,1.49832
-1.2476524e-005,1.49516
-1.2476324e-005,1.49188
-1.2476124e-005,1.49071
-1.2475924e-005,1.49358
-1.2475724e-005,1.49708
-1.2475524e-005,1.49774
-1.2475324e-005,1.4957
-1.2475124e-005,1.49323
-1.2474924e-005,1.49477
-1.2474724e-005,1.5005
-1.2474524e-005,1.50457
-1.2474324e-005,1.50338
-1.2474124e-005,1.49896
-1.2473924e-005,1.49636
-1.2473724e-005,1.49812
-1.2473524e-005,1.50172
-1.2473324e-005,1.50495
-1.2473124e-005,1.50754
-1.2472924e-005,1.50847
-1.2472724e-005,1.51013
-1.2472524e-005,1.51372
-1.2472324e-005,1.51003
-1.2472124e-005,1.49604
-1.2471924e-005,1.48667
-1.2471724e-005,1.49169
-1.2471524e-005,1.50129
-1.2471324e-005,1.50468
-1.2471124e-005,1.50468
-1.2470924e-005,1.50538
-1.2470724e-005,1.50138
-1.2470524e-005,1.491
-1.2470324e-005,1.48672
-1.2470124e-005,1.49544
-1.2469924e-005,1.50459
-1.2469724e-005,1.50552
-1.2469524e-005,1.50388
-1.2469324e-005,1.50273
-1.2469124e-005,1.50022
-1.2468924e-005,1.49646
-1.2468724e-005,1.49494
-1.2468524e-005,1.49789
-1.2468324e-005,1.50262
-1.2468124e-005,1.50585
-1.2467924e-005,1.50588
-1.2467724e-005,1.50324
-1.2467524e-005,1.49969
-1.2467324e-005,1.49615
-1.2467124e-005,1.49396
-1.2466924e-005,1.49439
-1.2466724e-005,1.49684
-1.2466524e-005,1.49801
-1.2466324e-005,1.49482
-1.2466124e-005,1.49118
-1.2465924e-005,1.4933
-1.2465724e-005,1.49853
-1.2465524e-005,1.5
-1.2465324e-005,1.49756
-1.2465124e-005,1.49691
-1.2464924e-005,1.5009
-1.2464724e-005,1.50516
-1.2464524e-005,1.50297
-1.2464324e-005,1.49589
-1.2464124e-005,1.49328
-1.2463924e-005,1.49708
-1.2463724e-005,1.5002
-1.2463524e-005,1.50036
-1.2463324e-005,1.50048
-1.2463124e-005,1.49948
-1.2462924e-005,1.49473
-1.2462724e-005,1.49073
-1.2462524e-005,1.49323
-1.2462324e-005,1.49813
-1.2462124e-005,1.49877
-1.2461924e-005,1.49784
-1.2461724e-005,1.49962
-1.2461524e-005,1.50114
-1.2461324e-005,1.49827
-1.2461124e-005,1.49131
-1.2460924e-005,1.48674
-1.2460724e-005,1.48978
-1.2460524e-005,1.49392
-1.2460324e-005,1.49354
-1.2460124e-005,1.49418
-1.2459924e-005,1.49903
-1.2459724e-005,1.50319
-1.2459524e-005,1.50288
-1.2459324e-005,1.50033
-1.2459124e-005,1.49642
-1.2458924e-005,1.49163
-1.2458724e-005,1.49078
-1.2458524e-005,1.49482
-1.2458324e-005,1.49856
-1.2458124e-005,1.49781
-1.2457924e-005,1.49468
-1.2457724e-005,1.4929
-1.2457524e-005,1.4934
-1.2457324e-005,1.49575
-1.2457124e-005,1.49743
-1.2456924e-005,1.4977
-1.2456724e-005,1.49836
-1.2456524e-005,1.49853
-1.2456324e-005,1.49727
-1.2456124e-005,1.49625
-1.2455924e-005,1.49582
-1.2455724e-005,1.49599
-1.2455524e-005,1.49891
-1.2455324e-005,1.50202
-1.2455124e-005,1.50039
-1.2454924e-005,1.49717
-1.2454724e-005,1.49674
-1.2454524e-005,1.49663
-1.2454324e-005,1.49554
-1.2454124e-005,1.49684
-1.2453924e-005,1.5015
-1.2453724e-005,1.50587
-1.2453524e-005,1.50518
-1.2453324e-005,1.49967
-1.2453124e-005,1.49599
-1.2452924e-005,1.49724
-1.2452724e-005,1.49884
-1.2452524e-005,1.49665
-1.2452324e-005,1.49316
-1.2452124e-005,1.49335
-1.2451924e-005,1.49572
-1.2451724e-005,1.4958
-1.2451524e-005,1.49389
-1.2451324e-005,1.49218
-1.2451124e-005,1.49283
-1.2450924e-005,1.49472
-1.2450724e-005,1.49397
-1.2450524e-005,1.49359
-1.2450324e-005,1.49706
