TRFL #9003096004LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 14:08:12,0                 
Time,Ampl
-1.2500012e-005,1.48923
-1.2499812e-005,1.48316
-1.2499612e-005,1.47763
-1.2499412e-005,1.47459
-1.2499212e-005,1.47755
-1.2499012e-005,1.48604
-1.2498812e-005,1.48998
-1.2498612e-005,1.4867
-1.2498412e-005,1.48604
-1.2498212e-005,1.48877
-1.2498012e-005,1.48713
-1.2497812e-005,1.48336
-1.2497612e-005,1.48438
-1.2497412e-005,1.48878
-1.2497212e-005,1.48872
-1.2497012e-005,1.48221
-1.2496812e-005,1.47958
-1.2496612e-005,1.48651
-1.2496412e-005,1.49182
-1.2496212e-005,1.48887
-1.2496012e-005,1.48559
-1.2495812e-005,1.48569
-1.2495612e-005,1.48685
-1.2495412e-005,1.48818
-1.2495212e-005,1.48659
-1.2495012e-005,1.48342
-1.2494812e-005,1.48566
-1.2494612e-005,1.49027
-1.2494412e-005,1.49094
-1.2494212e-005,1.49011
-1.2494012e-005,1.48809
-1.2493812e-005,1.48445
-1.2493612e-005,1.48335
-1.2493412e-005,1.48478
-1.2493212e-005,1.48666
-1.2493012e-005,1.48837
-1.2492812e-005,1.48725
-1.2492612e-005,1.48411
-1.2492412e-005,1.48404
-1.2492212e-005,1.4873
-1.2492012e-005,1.49108
-1.2491812e-005,1.49391
-1.2491612e-005,1.49364
-1.2491412e-005,1.49206
-1.2491212e-005,1.49553
-1.2491012e-005,1.50002
-1.2490812e-005,1.4959
-1.2490612e-005,1.48695
-1.2490412e-005,1.48224
-1.2490212e-005,1.48319
-1.2490012e-005,1.48768
-1.2489812e-005,1.49091
-1.2489612e-005,1.48934
-1.2489412e-005,1.4883
-1.2489212e-005,1.4908
-1.2489012e-005,1.49091
-1.2488812e-005,1.48999
-1.2488612e-005,1.49244
-1.2488412e-005,1.49255
-1.2488212e-005,1.49001
-1.2488012e-005,1.49027
-1.2487812e-005,1.48911
-1.2487612e-005,1.48471
-1.2487412e-005,1.48362
-1.2487212e-005,1.48701
-1.2487012e-005,1.48842
-1.2486812e-005,1.48383
-1.2486612e-005,1.48074
-1.2486412e-005,1.4863
-1.2486212e-005,1.49139
-1.2486012e-005,1.48775
-1.2485812e-005,1.48098
-1.2485612e-005,1.47796
-1.2485412e-005,1.48089
-1.2485212e-005,1.48716
-1.2485012e-005,1.49034
-1.2484812e-005,1.4887
-1.2484612e-005,1.48718
-1.2484412e-005,1.48735
-1.2484212e-005,1.48464
-1.2484012e-005,1.47868
-1.2483812e-005,1.4749
-1.2483612e-005,1.47622
-1.2483412e-005,1.48222
-1.2483212e-005,1.48916
-1.2483012e-005,1.49049
-1.2482812e-005,1.48644
-1.2482612e-005,1.48423
-1.2482412e-005,1.48663
-1.2482212e-005,1.48977
-1.2482012e-005,1.48882
-1.2481812e-005,1.48414
-1.2481612e-005,1.48352
-1.2481412e-005,1.4888
-1.2481212e-005,1.4907
-1.2481012e-005,1.48777
-1.2480812e-005,1.48733
-1.2480612e-005,1.48939
-1.2480412e-005,1.49072
-1.2480212e-005,1.49096
-1.2480012e-005,1.48899
-1.2479812e-005,1.48663
-1.2479612e-005,1.48927
-1.2479412e-005,1.49479
-1.2479212e-005,1.49512
-1.2479012e-005,1.48947
-1.2478812e-005,1.48431
-1.2478612e-005,1.48514
-1.2478412e-005,1.49041
-1.2478212e-005,1.49339
-1.2478012e-005,1.49198
-1.2477812e-005,1.48785
-1.2477612e-005,1.48485
-1.2477412e-005,1.48909
-1.2477212e-005,1.49643
-1.2477012e-005,1.49622
-1.2476812e-005,1.4898
-1.2476612e-005,1.48571
-1.2476412e-005,1.48663
-1.2476212e-005,1.48878
-1.2476012e-005,1.48797
-1.2475812e-005,1.4853
-1.2475612e-005,1.48474
-1.2475412e-005,1.48604
-1.2475212e-005,1.48661
-1.2475012e-005,1.48796
-1.2474812e-005,1.49042
-1.2474612e-005,1.49027
-1.2474412e-005,1.48771
-1.2474212e-005,1.48642
-1.2474012e-005,1.48799
-1.2473812e-005,1.49274
-1.2473612e-005,1.49814
-1.2473412e-005,1.49995
-1.2473212e-005,1.49876
-1.2473012e-005,1.49678
-1.2472812e-005,1.49331
-1.2472612e-005,1.48789
-1.2472412e-005,1.48176
-1.2472212e-005,1.47934
-1.2472012e-005,1.48492
-1.2471812e-005,1.49189
