TRFL #9003014969LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 20:08:23,0                 
Time,Ampl
-1.250005e-005,1.49524
-1.249985e-005,1.49178
-1.249965e-005,1.4896
-1.249945e-005,1.49085
-1.249925e-005,1.49273
-1.249905e-005,1.49188
-1.249885e-005,1.48962
-1.249865e-005,1.48998
-1.249845e-005,1.49243
-1.249825e-005,1.49296
-1.249805e-005,1.49172
-1.249785e-005,1.49161
-1.249765e-005,1.49324
-1.249745e-005,1.49566
-1.249725e-005,1.49742
-1.249705e-005,1.4972
-1.249685e-005,1.49569
-1.249665e-005,1.49465
-1.249645e-005,1.49451
-1.249625e-005,1.49435
-1.249605e-005,1.49334
-1.249585e-005,1.49195
-1.249565e-005,1.49118
-1.249545e-005,1.49095
-1.249525e-005,1.49034
-1.249505e-005,1.48889
-1.249485e-005,1.48718
-1.249465e-005,1.4859
-1.249445e-005,1.48603
-1.249425e-005,1.48878
-1.249405e-005,1.49335
-1.249385e-005,1.49775
-1.249365e-005,1.5003
-1.249345e-005,1.50039
-1.249325e-005,1.49962
-1.249305e-005,1.49897
-1.249285e-005,1.49729
-1.249265e-005,1.49539
-1.249245e-005,1.49555
-1.249225e-005,1.49733
-1.249205e-005,1.49881
-1.249185e-005,1.49878
-1.249165e-005,1.49688
-1.249145e-005,1.49486
-1.249125e-005,1.49518
-1.249105e-005,1.49717
-1.249085e-005,1.498
-1.249065e-005,1.4967
-1.249045e-005,1.49492
-1.249025e-005,1.49426
-1.249005e-005,1.49442
-1.248985e-005,1.49411
-1.248965e-005,1.49273
-1.248945e-005,1.49073
-1.248925e-005,1.48933
-1.248905e-005,1.48976
-1.248885e-005,1.49133
-1.248865e-005,1.49211
-1.248845e-005,1.49149
-1.248825e-005,1.49017
-1.248805e-005,1.48931
-1.248785e-005,1.48937
-1.248765e-005,1.48955
-1.248745e-005,1.49011
-1.248725e-005,1.49253
-1.248705e-005,1.49633
-1.248685e-005,1.49885
-1.248665e-005,1.4983
-1.248645e-005,1.49557
-1.248625e-005,1.49382
-1.248605e-005,1.49517
-1.248585e-005,1.49794
-1.248565e-005,1.49911
-1.248545e-005,1.49778
-1.248525e-005,1.49557
-1.248505e-005,1.49467
-1.248485e-005,1.4949
-1.248465e-005,1.49404
-1.248445e-005,1.49178
-1.248425e-005,1.49077
-1.248405e-005,1.49253
-1.248385e-005,1.49474
-1.248365e-005,1.49461
-1.248345e-005,1.49186
-1.248325e-005,1.48818
-1.248305e-005,1.48639
-1.248285e-005,1.48713
-1.248265e-005,1.48803
-1.248245e-005,1.48813
-1.248225e-005,1.4884
-1.248205e-005,1.48947
-1.248185e-005,1.49149
-1.248165e-005,1.49333
-1.248145e-005,1.49326
-1.248125e-005,1.49198
-1.248105e-005,1.49206
-1.248085e-005,1.49375
-1.248065e-005,1.49448
-1.248045e-005,1.49336
-1.248025e-005,1.49232
-1.248005e-005,1.49305
-1.247985e-005,1.49506
-1.247965e-005,1.49622
-1.247945e-005,1.49569
-1.247925e-005,1.49482
-1.247905e-005,1.49443
-1.247885e-005,1.49437
-1.247865e-005,1.49381
-1.247845e-005,1.49178
-1.247825e-005,1.49018
-1.247805e-005,1.49134
-1.247785e-005,1.49334
-1.247765e-005,1.49346
-1.247745e-005,1.49269
-1.247725e-005,1.49365
-1.247705e-005,1.49535
-1.247685e-005,1.49448
-1.247665e-005,1.4914
-1.247645e-005,1.48984
-1.247625e-005,1.49127
-1.247605e-005,1.4931
-1.247585e-005,1.49251
-1.247565e-005,1.49059
-1.247545e-005,1.49032
-1.247525e-005,1.49199
-1.247505e-005,1.49381
-1.247485e-005,1.49425
-1.247465e-005,1.49282
-1.247445e-005,1.4908
-1.247425e-005,1.49053
-1.247405e-005,1.49276
-1.247385e-005,1.49542
-1.247365e-005,1.49585
-1.247345e-005,1.49498
-1.247325e-005,1.49495
-1.247305e-005,1.4945
-1.247285e-005,1.49258
-1.247265e-005,1.49045
-1.247245e-005,1.48919
-1.247225e-005,1.4897
-1.247205e-005,1.49189
-1.247185e-005,1.49396
-1.247165e-005,1.49519
-1.247145e-005,1.49614
-1.247125e-005,1.49564
-1.247105e-005,1.49321
-1.247085e-005,1.49115
-1.247065e-005,1.49121
-1.247045e-005,1.49223
-1.247025e-005,1.4914
-1.247005e-005,1.48846
-1.246985e-005,1.48756
-1.246965e-005,1.49058
-1.246945e-005,1.49437
-1.246925e-005,1.49629
-1.246905e-005,1.49622
-1.246885e-005,1.49496
-1.246865e-005,1.49352
-1.246845e-005,1.49315
-1.246825e-005,1.49471
-1.246805e-005,1.49686
