TRFL #9003106953LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 20:13:48,0                 
Time,Ampl
-1.2500188e-005,1.49603
-1.2499988e-005,1.49309
-1.2499788e-005,1.49226
-1.2499588e-005,1.4964
-1.2499388e-005,1.50024
-1.2499188e-005,1.50545
-1.2498988e-005,1.51039
-1.2498788e-005,1.50265
-1.2498588e-005,1.48746
-1.2498388e-005,1.48408
-1.2498188e-005,1.49257
-1.2497988e-005,1.49844
-1.2497788e-005,1.49616
-1.2497588e-005,1.49026
-1.2497388e-005,1.48377
-1.2497188e-005,1.4836
-1.2496988e-005,1.49554
-1.2496788e-005,1.50497
-1.2496588e-005,1.49623
-1.2496388e-005,1.48252
-1.2496188e-005,1.48235
-1.2495988e-005,1.48812
-1.2495788e-005,1.48974
-1.2495588e-005,1.49147
-1.2495388e-005,1.49492
-1.2495188e-005,1.49772
-1.2494988e-005,1.4964
-1.2494788e-005,1.49067
-1.2494588e-005,1.48708
-1.2494388e-005,1.48898
-1.2494188e-005,1.49292
-1.2493988e-005,1.49568
-1.2493788e-005,1.49741
-1.2493588e-005,1.49716
-1.2493388e-005,1.49433
-1.2493188e-005,1.49022
-1.2492988e-005,1.48549
-1.2492788e-005,1.48415
-1.2492588e-005,1.48964
-1.2492388e-005,1.49844
-1.2492188e-005,1.50376
-1.2491988e-005,1.50259
-1.2491788e-005,1.49506
-1.2491588e-005,1.48435
-1.2491388e-005,1.47897
-1.2491188e-005,1.48408
-1.2490988e-005,1.49288
-1.2490788e-005,1.49609
-1.2490588e-005,1.49523
-1.2490388e-005,1.49623
-1.2490188e-005,1.49699
-1.2489988e-005,1.49468
-1.2489788e-005,1.49475
-1.2489588e-005,1.5
-1.2489388e-005,1.50279
-1.2489188e-005,1.50186
-1.2488988e-005,1.50504
-1.2488788e-005,1.50877
-1.2488588e-005,1.50338
-1.2488388e-005,1.49375
-1.2488188e-005,1.49029
-1.2487988e-005,1.49247
-1.2487788e-005,1.49523
-1.2487588e-005,1.49858
-1.2487388e-005,1.50314
-1.2487188e-005,1.50469
-1.2486988e-005,1.4982
-1.2486788e-005,1.49009
-1.2486588e-005,1.49081
-1.2486388e-005,1.49599
-1.2486188e-005,1.49506
-1.2485988e-005,1.49288
-1.2485788e-005,1.4981
-1.2485588e-005,1.50172
-1.2485388e-005,1.49886
-1.2485188e-005,1.49886
-1.2484988e-005,1.50224
-1.2484788e-005,1.50328
-1.2484588e-005,1.50134
-1.2484388e-005,1.49931
-1.2484188e-005,1.50041
-1.2483988e-005,1.50041
-1.2483788e-005,1.49337
-1.2483588e-005,1.48553
-1.2483388e-005,1.4865
-1.2483188e-005,1.49382
-1.2482988e-005,1.49903
-1.2482788e-005,1.4971
-1.2482588e-005,1.49257
-1.2482388e-005,1.49188
-1.2482188e-005,1.48777
-1.2481988e-005,1.47994
-1.2481788e-005,1.48304
-1.2481588e-005,1.49668
-1.2481388e-005,1.50545
-1.2481188e-005,1.50797
-1.2480988e-005,1.51153
