0.5 1 32
0.7 1 32
0.9 1 32
1.1 1 32
1.3 1 32
1.5 1 32
1.7 1 32
1.9 1 32
2.1 1 32
2.3 1 32
2.5 1 32
0.5 2 32
0.7 2 32
0.9 2 32
1.1 2 32
1.3 2 32
1.5 2 32
1.7 2 32
1.9 2 32
2.1 2 32
2.3 2 32
2.5 2 32
0.5 4 32
0.7 4 32
0.9 4 32
1.1 4 32
1.3 4 32
1.5 4 32
1.7 4 32
1.9 4 32
2.1 4 32
2.3 4 32
2.5 4 32
0.5 8 32
0.7 8 32
0.9 8 32
1.1 8 32
1.3 8 32
1.5 8 32
1.7 8 32
1.9 8 32
2.1 8 32
2.3 8 32
2.5 8 32
0.5 16 32
0.7 16 32
0.9 16 32
1.1 16 32
1.3 16 32
1.5 16 32
1.7 16 32
1.9 16 32
2.1 16 32
2.3 16 32
2.5 16 32
0.5 1 256
0.7 1 256
0.9 1 256
1.1 1 256
1.3 1 256
1.5 1 256
1.7 1 256
1.9 1 256
2.1 1 256
2.3 1 256
2.5 1 256
0.5 2 256
0.7 2 256
0.9 2 256
1.1 2 256
1.3 2 256
1.5 2 256
1.7 2 256
1.9 2 256
2.1 2 256
2.3 2 256
2.5 2 256
0.5 4 256
0.7 4 256
0.9 4 256
1.1 4 256
1.3 4 256
1.5 4 256
1.7 4 256
1.9 4 256
2.1 4 256
2.3 4 256
2.5 4 256
0.5 8 256
0.7 8 256
0.9 8 256
1.1 8 256
1.3 8 256
1.5 8 256
1.7 8 256
1.9 8 256
2.1 8 256
2.3 8 256
2.5 8 256
0.5 16 256
0.7 16 256
0.9 16 256
1.1 16 256
1.3 16 256
1.5 16 256
1.7 16 256
1.9 16 256
2.1 16 256
2.3 16 256
2.5 16 256
