TRFL #9003023888LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 16:14:44,0                 
Time,Ampl
-1.250007e-005,1.47626
-1.249987e-005,1.47962
-1.249967e-005,1.48182
-1.249947e-005,1.48351
-1.249927e-005,1.48613
-1.249907e-005,1.49084
-1.249887e-005,1.49267
-1.249867e-005,1.48839
-1.249847e-005,1.4875
-1.249827e-005,1.49098
-1.249807e-005,1.48965
-1.249787e-005,1.48681
-1.249767e-005,1.48805
-1.249747e-005,1.49002
-1.249727e-005,1.49124
-1.249707e-005,1.49209
-1.249687e-005,1.49254
-1.249667e-005,1.49514
-1.249647e-005,1.49701
-1.249627e-005,1.49235
-1.249607e-005,1.48741
-1.249587e-005,1.49019
-1.249567e-005,1.49554
-1.249547e-005,1.49675
-1.249527e-005,1.49368
-1.249507e-005,1.48798
-1.249487e-005,1.48335
-1.249467e-005,1.48156
-1.249447e-005,1.4808
-1.249427e-005,1.48323
-1.249407e-005,1.4881
-1.249387e-005,1.48779
-1.249367e-005,1.48434
-1.249347e-005,1.4856
-1.249327e-005,1.48838
-1.249307e-005,1.48822
-1.249287e-005,1.48938
-1.249267e-005,1.49428
-1.249247e-005,1.49773
-1.249227e-005,1.49608
-1.249207e-005,1.49278
-1.249187e-005,1.49126
-1.249167e-005,1.48862
-1.249147e-005,1.48323
-1.249127e-005,1.4823
-1.249107e-005,1.48712
-1.249087e-005,1.48841
-1.249067e-005,1.48653
-1.249047e-005,1.48883
-1.249027e-005,1.49307
-1.249007e-005,1.49311
-1.248987e-005,1.48945
-1.248967e-005,1.48886
-1.248947e-005,1.49326
-1.248927e-005,1.49433
-1.248907e-005,1.48872
-1.248887e-005,1.48598
-1.248867e-005,1.48984
-1.248847e-005,1.49255
-1.248827e-005,1.49252
-1.248807e-005,1.49274
-1.248787e-005,1.49238
-1.248767e-005,1.49326
-1.248747e-005,1.49589
-1.248727e-005,1.49592
-1.248707e-005,1.49226
-1.248687e-005,1.48672
-1.248667e-005,1.48176
-1.248647e-005,1.48197
-1.248627e-005,1.48639
-1.248607e-005,1.48769
-1.248587e-005,1.48598
-1.248567e-005,1.4867
-1.248547e-005,1.4887
-1.248527e-005,1.49071
-1.248507e-005,1.49179
-1.248487e-005,1.48767
-1.248467e-005,1.48428
-1.248447e-005,1.48684
-1.248427e-005,1.48555
-1.248407e-005,1.4808
-1.248387e-005,1.48406
-1.248367e-005,1.49233
-1.248347e-005,1.49494
-1.248327e-005,1.49185
-1.248307e-005,1.48953
-1.248287e-005,1.48941
-1.248267e-005,1.48684
-1.248247e-005,1.47938
-1.248227e-005,1.47391
-1.248207e-005,1.47631
-1.248187e-005,1.48052
-1.248167e-005,1.48311
-1.248147e-005,1.48691
-1.248127e-005,1.49014
-1.248107e-005,1.49159
-1.248087e-005,1.49048
-1.248067e-005,1.48532
-1.248047e-005,1.48125
-1.248027e-005,1.48225
-1.248007e-005,1.48553
