TRFL #9003048860LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 15:35:59,0                 
Time,Ampl
-1.2500068e-005,1.49658
-1.2499868e-005,1.49444
-1.2499668e-005,1.48769
-1.2499468e-005,1.48241
-1.2499268e-005,1.48106
-1.2499068e-005,1.48176
-1.2498868e-005,1.48424
-1.2498668e-005,1.48752
-1.2498468e-005,1.49023
-1.2498268e-005,1.49332
-1.2498068e-005,1.49569
-1.2497868e-005,1.49546
-1.2497668e-005,1.49489
-1.2497468e-005,1.49486
-1.2497268e-005,1.49341
-1.2497068e-005,1.49209
-1.2496868e-005,1.4927
-1.2496668e-005,1.49307
-1.2496468e-005,1.4913
-1.2496268e-005,1.48757
-1.2496068e-005,1.48503
-1.2495868e-005,1.48736
-1.2495668e-005,1.49116
-1.2495468e-005,1.49154
-1.2495268e-005,1.492
-1.2495068e-005,1.49595
-1.2494868e-005,1.49881
-1.2494668e-005,1.497
-1.2494468e-005,1.49328
-1.2494268e-005,1.49139
-1.2494068e-005,1.4923
-1.2493868e-005,1.49428
-1.2493668e-005,1.49538
-1.2493468e-005,1.4948
-1.2493268e-005,1.4929
-1.2493068e-005,1.49113
-1.2492868e-005,1.48955
-1.2492668e-005,1.48823
-1.2492468e-005,1.48965
-1.2492268e-005,1.49439
-1.2492068e-005,1.49956
-1.2491868e-005,1.50212
-1.2491668e-005,1.50045
-1.2491468e-005,1.49556
-1.2491268e-005,1.49211
-1.2491068e-005,1.49373
-1.2490868e-005,1.49676
-1.2490668e-005,1.49683
-1.2490468e-005,1.49689
-1.2490268e-005,1.49944
-1.2490068e-005,1.50085
-1.2489868e-005,1.49904
-1.2489668e-005,1.49663
-1.2489468e-005,1.4954
-1.2489268e-005,1.49444
-1.2489068e-005,1.49285
-1.2488868e-005,1.49178
-1.2488668e-005,1.49224
-1.2488468e-005,1.49328
-1.2488268e-005,1.49507
-1.2488068e-005,1.49806
-1.2487868e-005,1.49901
-1.2487668e-005,1.49586
-1.2487468e-005,1.49206
-1.2487268e-005,1.49057
-1.2487068e-005,1.49106
-1.2486868e-005,1.49193
-1.2486668e-005,1.49064
-1.2486468e-005,1.48743
-1.2486268e-005,1.48492
-1.2486068e-005,1.48382
-1.2485868e-005,1.48452
-1.2485668e-005,1.48808
-1.2485468e-005,1.49257
-1.2485268e-005,1.49311
-1.2485068e-005,1.48878
-1.2484868e-005,1.48395
-1.2484668e-005,1.48225
-1.2484468e-005,1.4841
-1.2484268e-005,1.48793
-1.2484068e-005,1.4907
-1.2483868e-005,1.48951
-1.2483668e-005,1.48494
-1.2483468e-005,1.48197
-1.2483268e-005,1.48449
-1.2483068e-005,1.48901
-1.2482868e-005,1.49039
-1.2482668e-005,1.49093
-1.2482468e-005,1.4943
-1.2482268e-005,1.49668
-1.2482068e-005,1.49493
-1.2481868e-005,1.49383
-1.2481668e-005,1.49635
-1.2481468e-005,1.49893
